target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}"
0.0001,0.000101,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}"
0.0001,0.000101,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}"
0.0001,0.0001,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}"
0.0001,9.9e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005230916626808452, 0.0052366000498427915]}"
0.0001,0.0001,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0004767329149774978, -0.0004757001264309595]}"
0.0001,9.9e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012937784372869514, 0.0012955635060097786]}"
0.0001,9.9e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.003850705875624245, -0.003847219430158874]}"
0.0001,0.0001,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00027681643395289184, -0.0002760261673437389]}"
0.0001,9.9e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0019551650236630095, -0.0019533063791186537]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['ux','uz','uy']","{'ux': [0.032520858017417685, 0.07210260405220262], 'uy': [0.02804683760729257, 0.06291767040796087], 'uz': [-0.00745401429432765, -0.0007794003996378302]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz')","['ux','uz','uy']","{'ux': [-0.0022481165900445073, -0.0018791300606010336], 'uy': [0.003327946628017861, 0.004997904048273694], 'uz': [-0.02684196486355379, -0.02040937875910771]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz')","['uy','ux','uz']","{'ux': [-0.06112862363160393, -0.04049202248643578], 'uy': [-0.05779757801185729, -0.03558833482315005], 'uz': [-0.002888469344665738, 0.01678084213173511]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['uy','ux','uz']","{'ux': [-0.0183026041216599, -0.013526593774852836], 'uy': [0.0030452396565756063, 0.005281055086603945], 'uz': [0.02477669056122838, 0.02872157332954382]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz')","['ux','uz','uy']","{'ux': [-0.04841579465218709, -0.032807244694936656], 'uy': [-0.008204594007930832, 0.00473619914947683], 'uz': [-0.016305490825471444, 0.0003212344566909074]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz')","['uz','uy','ux']","{'ux': [0.0008012029384256811, 0.0012685463238837436], 'uy': [0.004543063205099036, 0.005109707535114753], 'uz': [-0.0055870908083584725, -0.0047611025051898445]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz')","['uz','ux']","{'ux': [-0.034995873656262035, -0.026200981976477633], 'uy': [0.01363177576647099, 0.028308171219248605], 'uz': [-0.001214113145978692, 0.0156797918489823]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','uy','y','ux']","{'x': [-1.04999991039802e-05, -9.000002477190496e-06], 'y': [6.000000154936633e-06, 7.413825373212994e-06], 'z': [2.506579097897835e-05, 2.657894613476685e-05], 'ux': [0.0002329924611930139, 0.011027948462145882], 'uy': [-0.008909104535758277, -0.004385620212946404], 'uz': [0.03932794775747489, 0.06597466823632143]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['ux','uz','y','z']","{'x': [6.00000013589134e-06, 7.499999641982651e-06], 'y': [4.1346884948869303e-07, 3.7710763562874186e-06], 'z': [3.812957879462228e-05, 3.9337780487466966e-05], 'ux': [-0.01500484172944008, -0.008356170377528605], 'uy': [-0.005907183033466281, -0.0015900041433167293], 'uz': [0.009258903311107007, 0.012368205327261652]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','y','ux','uy','x']","{'x': [7.446904020852084e-06, 9.053089175826818e-06], 'y': [-3.1137044378455344e-06, -1.3855337370142107e-06], 'z': [9.93421889007065e-06, 1.1447367332406475e-05], 'ux': [-0.008887093428852966, 0.13339437749404823], 'uy': [-0.054291776110780815, 0.002376259156124185], 'uz': [-0.08758735996830666, 0.047168806881120406]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','z','ux','uy','y','uz']","{'x': [6.007145774641614e-06, 7.524860149346356e-06], 'y': [8.999284979769986e-06, 1.043098101987121e-05], 'z': [1.2925410419230784e-05, 1.4508808369838277e-05], 'ux': [-0.001806025341365182, 0.1057068966742627], 'uy': [-0.01885187704097327, 0.14143816326527942], 'uz': [-0.04273384687457323, 0.051135215933967165]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','ux','z','uz','y','uy']","{'x': [6.616749823945901e-08, 1.6349559432319021e-06], 'y': [1.0295341491620608e-05, 1.1801383931624924e-05], 'z': [8.159245520961385e-06, 9.9409780166667e-06], 'ux': [-0.012869308649738802, 0.018648650962095538], 'uy': [-0.013986331072026043, 0.12884441022937843], 'uz': [-0.030421799138281344, 0.006033423566588956]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['y','uz','x','z','ux']","{'x': [1.0384559037757239e-05, 1.1691648982036184e-05], 'y': [5.822872589337549e-06, 7.568683500666211e-06], 'z': [3.561845483603873e-05, 3.739920180589358e-05], 'ux': [-0.016143065664916745, -0.010676745976879612], 'uy': [-0.004216765459479108, -0.0016586430710140538], 'uz': [0.015151580992514286, 0.017842702228061297]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','ux','uz','z','uy','y']","{'x': [-4.550766593328051e-06, -2.9492271851245675e-06], 'y': [6.083255884171415e-06, 7.463517664861497e-06], 'z': [-2.9328768418293335e-05, -2.7853210440864383e-05], 'ux': [0.0014241370395022277, 0.0026030440870416904], 'uy': [-0.005671766737671413, -0.0042529922221424534], 'uz': [-0.008457362424683642, -0.005740651980780868]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','x','ux','y']","{'x': [1.0253647164875354e-05, 1.2246555220155619e-05], 'y': [-4.7374486186949614e-06, -2.7627454510152018e-06], 'z': [-5.197350719699611e-06, -3.684247987477589e-06], 'ux': [-0.013301566720435226, 0.14421606271898849], 'uy': [-0.049057076367237086, 0.0006162859012357383], 'uz': [-0.08148771564331295, 0.05681946026729112]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['ux','uz','uy']","{'ux': [0.0014060653890451123, 0.001927337777321431], 'uy': [-0.005066454912478374, -0.004307481558608517], 'uz': [-0.006497388768161738, -0.005548808449444877]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['uy','uz','ux']","{'ux': [0.00073111441051823, 0.0009652934749641775], 'uy': [0.0029504728567101833, 0.0033566289708581534], 'uz': [-0.003019550872340621, -0.0027434803381523112]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['uy','uz','ux']","{'ux': [0.004624664950296377, 0.009066766833675771], 'uy': [-0.0005156767125441897, 0.000427884898495154], 'uz': [-0.027360222766600637, -0.022171020453562815]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [0.0005482070946088165, 0.002440026102593058], 'uy': [-0.0009394281248871135, -0.0005590241466573552], 'uz': [-0.023057752150782807, -0.0195931158377692]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['z','uy','ux','x']","{'x': [2.7496137543790596e-06, 4.635819872789621e-06], 'y': [-1.1999989434582632e-05, -1.0505229436320425e-05], 'z': [5.2462210708949075e-06, 6.8759934101121306e-06], 'ux': [-0.001877112801826817, 0.04115010441330852], 'uy': [-0.11945666371243434, 0.02047461747604866], 'uz': [-0.01719627517058548, 0.01936996373013499]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uy','z','y','x']","{'x': [-7.502174342163327e-06, -5.955672670804229e-06], 'y': [-7.489184587862538e-06, -5.967753146025646e-06], 'z': [3.108609789727442e-05, 3.2663901991543416e-05], 'ux': [0.005578440224797317, 0.011193304053907557], 'uy': [0.013605059724436703, 0.01764537220855055], 'uz': [0.018930553838726365, 0.0243124081018053]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uy','z','ux','x']","{'x': [-1.0453093436200025e-05, -8.925500811008134e-06], 'y': [9.000000541755914e-06, 1.0499998304536655e-05], 'z': [-2.9434937211953308e-05, -2.781103424113664e-05], 'ux': [0.0014373806407169017, 0.0028673137907611205], 'uy': [-0.0037371662283121926, -0.0021673980660403187], 'uz': [-0.008216628731686867, -0.006532653548793005]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['z','uz','uy','x']","{'x': [-4.489647298956747e-06, -2.9101118070322983e-06], 'y': [-1.0499651548812118e-05, -9.000317775362587e-06], 'z': [3.861054367852628e-06, 5.317054373527335e-06], 'ux': [-0.05909388897832438, 0.0002664619590611259], 'uy': [-0.0948632034276981, 0.004745744862401813], 'uz': [-0.015307643903969024, 0.0315130338301555]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','y','uy','ux','uz','z']","{'x': [-8.00081599861133e-06, -5.399460750323153e-06], 'y': [7.210145736317884e-06, 9.2375815995814e-06], 'z': [-3.925016785176139e-05, -3.833297237423667e-05], 'ux': [0.0009201214273230756, 0.0016986532263681983], 'uy': [-0.002663312468529087, -0.0018149924318426175], 'uz': [-0.002593645945445657, -0.0019328111032186363]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','z','x','y']","{'x': [9.084729520709158e-06, 1.0591460824450033e-05], 'y': [7.4175442321416985e-06, 8.991829053195702e-06], 'z': [8.485368759182755e-06, 1.0056257648215949e-05], 'ux': [-0.0002469602266884768, 0.1398087548822086], 'uy': [-0.00019026053311859832, 0.12704283229856414], 'uz': [-0.026331758470236933, 0.026410680123045645]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','ux','uy','y','z','x']","{'x': [1.5897551607903224e-06, 3.0424361396809927e-06], 'y': [4.544706620420393e-06, 6.056028639291281e-06], 'z': [3.560419757786208e-05, 3.7191706078018614e-05], 'ux': [-0.0069427069653309826, -0.0038268680118830234], 'uy': [-0.014934758753898027, -0.011283432547905998], 'uz': [0.009720193805512159, 0.012760951038134552]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','uy','z','ux','uz']","{'x': [1.0706488677654104e-05, 1.2097593100333714e-05], 'y': [-8.999999918921568e-06, -7.500001672314009e-06], 'z': [-2.3431980853642614e-05, -2.1815641139950138e-05], 'ux': [-0.004046290303157193, 0.013159700461927477], 'uy': [-0.0019217693673554857, 0.002431842691654038], 'uz': [-0.031795979010562934, -0.013866324990776497]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','ux','y','z','uz','uy']","{'x': [-3.0836542088745655e-06, -1.416348030392397e-06], 'y': [1.0449189126121074e-05, 1.2020468252227572e-05], 'z': [-2.489037188867473e-05, -2.3333310167546278e-05], 'ux': [0.0001819080548437245, 0.0009213953354317778], 'uy': [-0.005939442208469653, 0.0015832343969463488], 'uz': [-0.022234714557728366, -0.010915422312534603]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz','x','y','z')","['ux','y','uy','z','x']","{'x': [-2.9218647393077622e-06, -1.4797346316412975e-06], 'y': [-9.101098345168431e-06, -7.446705522955124e-06], 'z': [1.137076334014721e-05, 1.3027149647613272e-05], 'ux': [-0.04284601874730476, 0.002385722810066989], 'uy': [-0.1201789031981979, 0.00584391505618323], 'uz': [-0.03317380328499946, 0.053032239678245344]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['ux','uz','y','z','x']","{'x': [4.460791028830414e-06, 6.011203655768474e-06], 'y': [-8.965691382543591e-06, -7.45762263009137e-06], 'z': [-3.228061972250449e-05, -3.085538904296309e-05], 'ux': [-0.0021821493429563335, -0.001232893254802613], 'uy': [0.003809031328700214, 0.005170960015119457], 'uz': [-0.00538803467210681, -0.004004081591264427]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['y','z','x','uz','ux','uy']","{'x': [-8.91569479280377e-08, 1.5891558137758615e-06], 'y': [2.9675683998584023e-06, 4.532430180047332e-06], 'z': [-3.811451512570203e-06, -2.043813049780593e-06], 'ux': [-0.039084276359688926, 0.04845625793570862], 'uy': [-0.03805461348700259, 0.11374951978634365], 'uz': [-0.0639223570492262, 0.08492403955891654]}"
0.0001,9.9e-05,10000,hydrogen,"('ux','uy','uz','x','y','z')","['uz','uy','x','ux','z','y']","{'x': [-4.5200772766146675e-06, -2.911415019415715e-06], 'y': [-8.89775445392319e-06, -7.425554966173511e-06], 'z': [-3.404502043117333e-05, -3.235996383133614e-05], 'ux': [0.0005703060294374349, 0.0015611849566095407], 'uy': [0.003801252910103449, 0.00489232244901874], 'uz': [-0.004215513449318216, -0.0031572802247636063]}"
0.0001,0.000101,10000,hydrogen,"('ux','uy','uz','x','y','z')","['z','y','uz','ux','x']","{'x': [-1.0557537679578187e-05, -9.145930582885621e-06], 'y': [-3.0547954482634014e-06, -1.5566100284646336e-06], 'z': [3.5747692682461596e-05, 3.720870441139926e-05], 'ux': [0.013280235009289603, 0.019966074710152503], 'uy': [0.003090543781193601, 0.007241513335467596], 'uz': [0.012942411278753141, 0.01635706932400992]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['ux','uz','y','z']","{'x': [6.00000013589134e-06, 7.499999641982651e-06], 'y': [4.1346884948869303e-07, 3.7710763562874186e-06], 'z': [3.812957879462228e-05, 3.9337780487466966e-05], 'ux': [-0.01500484172944008, -0.008356170377528605], 'uy': [-0.005907183033466281, -0.0015900041433167293], 'uz': [0.009258903311107007, 0.012368205327261652]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['ux','z','y','uy','uz','x']","{'x': [-1.0499997947863806e-05, -9.000000581519415e-06], 'y': [4.5000001221188145e-06, 5.999999411177016e-06], 'z': [-2.4868418930075627e-05, -2.3355263738531403e-05], 'ux': [-0.002192214999789213, 0.0033498007313923785], 'uy': [-0.0028712003040514814, -0.0020677239816230537], 'uz': [-0.027751791981678278, -0.014177764987031813]}"
0.0001,0.0001,10000,hydrogen,"('ux','uy','uz','x','y','z')","['x','z','ux','uy','y','uz']","{'x': [6.007145774641614e-06, 7.524860149346356e-06], 'y': [8.999284979769986e-06, 1.043098101987121e-05], 'z': [1.2925410419230784e-05, 1.4508808369838277e-05], 'ux': [-0.001806025341365182, 0.1057068966742627], 'uy': [-0.01885187704097327, 0.14143816326527942], 'uz': [-0.04273384687457323, 0.051135215933967165]}"
