target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001006312410428,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0005969880302873192, 0.0005982011658127234]}"
0.0001,0.0001007658239965,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}"
0.0001,9.968313995130302e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-9.848446517445291e-05, -9.830441056457492e-05]}"
0.0001,0.0001004559631302,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00029263963683204134, 0.00029350289263448614]}"
0.0001,9.935163607315503e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0003790365482678802, 0.0003800826080900956]}"
0.0001,9.901235900062294e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00037903825749598926, 0.0003800808988619863]}"
0.0001,9.920615540571037e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004054563048089824, 0.004058471028867867]}"
0.0001,9.96176774613423e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0004767329149774978, -0.0004757001264309595]}"
0.0001,9.931772360745946e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0052780400775667745, 0.005283898750707369]}"
0.0001,0.0001000664651253,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0014389053568030965, 0.00144081777608949]}"
0.0001,0.0001007504300233,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}"
0.0001,9.937442220179096e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00035107754524627, -0.0003501399701033984]}"
0.0001,9.931353217911506e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.003440461531968685, 0.0034436719575767338]}"
0.0001,9.959489133270638e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}"
0.0001,9.925790049381668e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [6.0553771960299464e-05, 6.065025300499659e-05]}"
0.0001,9.900138507913942e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004198611610317788, 0.004202660062652156]}"
0.0001,0.0001007697868015,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-4.528581393087638e-05, -4.5207800793640027e-05]}"
0.0001,9.991496404264234e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0005202005956383113, 0.0005213713689530452]}"
0.0001,9.901350211744414e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00043984544780330747, 0.0004409516039339177]}"
0.0001,9.917468158923332e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005230916626808452, 0.0052366000498427915]}"
0.0001,9.93343369052609e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012937784372869514, 0.0012955635060097786]}"
0.0001,9.905937920586829e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0030868421097137743, 0.003089675351163596]}"
0.0001,9.956517029535518e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.001875388792069604, 0.0018776247098938003]}"
0.0001,0.0001004141250545,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [9.351884302957708e-05, 9.368708443795551e-05]}"
0.0001,0.0001002817521266,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00027681643395289184, -0.0002760261673437389]}"
0.0001,9.90958827363586e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0019551650236630095, -0.0019533063791186537]}"
0.0001,9.978038108889308e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.004499097551493824, -0.0044948926775616955]}"
0.0001,0.0001004895707647,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0052244843207282675, -0.005219412159428173]}"
0.0001,9.973907646775372e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005094780153814666, 0.005100054299609221]}"
0.0001,0.0001005138810491,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0005409521369550886, 0.0005421390860154814]}"
0.0001,9.982092363215164e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.0066762886333160895, 0.003126082253057289], 'uy': [0.01658536637644852, 0.025001933409873115], 'uz': [0.14233986295772455, 0.1626443822049875]}"
0.0001,0.0001001041879804,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-0.03974376455012521, -0.015799235269467977], 'uy': [-0.10873161045914839, -0.04087915012081253], 'uz': [0.006956313787446091, 0.03520979688910567]}"
0.0001,0.0001001732322364,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [-0.04525951029678289, -0.024752950575668356], 'uy': [-0.04682558519452559, -0.029232580554922036], 'uz': [-0.0382265813970235, -0.005270680855920591]}"
0.0001,0.0001009852262184,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [0.0017529489187110886, 0.005595666823935877], 'uy': [0.007876571574823878, 0.018930210693083382], 'uz': [-0.03473917687718418, -0.02774317353824515]}"
0.0001,0.0001005384961647,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [0.031207771845610837, 0.04851088571893332], 'uy': [0.04020267091105804, 0.07405928032630657], 'uz': [-0.010277275244918132, 0.00813621257837067]}"
0.0001,0.000100435158404,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-0.0026444199164582186, -0.0018362261531114728], 'uy': [0.0027991974924900277, 0.011872280689581604], 'uz': [0.06584609693020223, 0.07661703631438403]}"
0.0001,0.000100011900349,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux', 'uy']","{'ux': [0.011044070906575191, 0.028138736281228253], 'uy': [-0.00404376501041188, 0.0005079364309652197], 'uz': [-0.025116185685617562, -0.020271569101472833]}"
0.0001,0.0001007531735037,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [-0.0006869455472268162, -0.0004312907054894689], 'uy': [0.0014114949192897911, 0.003671967323625581], 'uz': [-0.023184143851620806, -0.018222450042071875]}"
0.0001,9.958856608629574e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [-0.00121815339195143, -0.0007888170270911053], 'uy': [0.018877238094905838, 0.019866288062340642], 'uz': [0.016292928257456887, 0.017723639232492303]}"
0.0001,0.0001002988226712,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [-0.00037080115802466944, 0.0008178254220269275], 'uy': [0.002055545715320479, 0.002401055681625735], 'uz': [-0.02164606760462146, -0.017923660825626093]}"
0.0001,9.97833531926282e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux', 'uy']","{'ux': [0.01920186838075086, 0.04359666612071783], 'uy': [-0.02298873135967355, -0.015149689933658703], 'uz': [-0.007370420612811134, 0.0038573778601530394]}"
0.0001,0.0001006783374558,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [0.023732545699161535, 0.053770853818384666], 'uy': [0.023656884991047584, 0.035096645825793124], 'uz': [0.0006008813698288543, 0.011493666956968244]}"
0.0001,0.000100863446173,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [0.011634698493914679, 0.027473559633336024], 'uy': [-0.015847849752146086, -0.0064273276168264545], 'uz': [0.09321703242637619, 0.09973324124759989]}"
0.0001,0.0001002241390388,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-0.0183026041216599, -0.013526593774852836], 'uy': [0.0030452396565756063, 0.005281055086603945], 'uz': [0.02477669056122838, 0.02872157332954382]}"
0.0001,9.993439702860274e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [-0.03746218751645363, -0.025000565848248425], 'uy': [0.00020111803724041748, 0.008667864108975328], 'uz': [0.02426525570745573, 0.02650535043050031]}"
0.0001,9.912987140984228e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-0.06112862363160393, -0.04049202248643578], 'uy': [-0.05779757801185729, -0.03558833482315005], 'uz': [-0.002888469344665738, 0.01678084213173511]}"
0.0001,9.903354476570916e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [0.012553594955885799, 0.025593308612406638], 'uy': [-0.031442642191110606, -0.016107149730738103], 'uz': [-0.022368316411400618, -0.003355171185970073]}"
0.0001,0.0001007226903885,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [0.009557963877586062, 0.014944495985182774], 'uy': [0.007967956660883036, 0.011820977375459561], 'uz': [0.10239520704827562, 0.1394596747276329]}"
