target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.000100177347457,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}"
0.0001,0.0001007504300233,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}"
0.0001,0.0001007658239965,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}"
0.0001,9.959489133270638e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}"
0.0001,9.917468158923332e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005230916626808452, 0.0052366000498427915]}"
0.0001,9.96176774613423e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0004767329149774978, -0.0004757001264309595]}"
0.0001,9.93343369052609e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012937784372869514, 0.0012955635060097786]}"
0.0001,9.908894782764331e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.003850705875624245, -0.003847219430158874]}"
0.0001,0.0001002817521266,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00027681643395289184, -0.0002760261673437389]}"
0.0001,9.90958827363586e-05,10000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0019551650236630095, -0.0019533063791186537]}"
0.0001,0.0001001662973277,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [0.032520858017417685, 0.07210260405220262], 'uy': [0.02804683760729257, 0.06291767040796087], 'uz': [-0.00745401429432765, -0.0007794003996378302]}"
0.0001,9.936824937095648e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.0022481165900445073, -0.0018791300606010336], 'uy': [0.003327946628017861, 0.004997904048273694], 'uz': [-0.02684196486355379, -0.02040937875910771]}"
0.0001,0.0001008872230029,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy', 'ux']","{'ux': [0.051216393527234255, 0.10568762287274805], 'uy': [0.03635720206252611, 0.05735320833728099], 'uz': [-0.001850943571421227, 0.020675178309215787]}"
0.0001,9.912987140984228e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-0.06112862363160393, -0.04049202248643578], 'uy': [-0.05779757801185729, -0.03558833482315005], 'uz': [-0.002888469344665738, 0.01678084213173511]}"
0.0001,0.0001002241390388,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [-0.0183026041216599, -0.013526593774852836], 'uy': [0.0030452396565756063, 0.005281055086603945], 'uz': [0.02477669056122838, 0.02872157332954382]}"
0.0001,9.909298684041156e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [0.007674039622454897, 0.013285509034519733], 'uy': [-0.07570878225651383, -0.028557220217780382], 'uz': [0.1795094116841093, 0.2357046661550433]}"
0.0001,9.947097746928833e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.04841579465218709, -0.032807244694936656], 'uy': [-0.008204594007930832, 0.00473619914947683], 'uz': [-0.016305490825471444, 0.0003212344566909074]}"
0.0001,9.929135571278378e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'uy', 'ux']","{'ux': [0.0008012029384256811, 0.0012685463238837436], 'uy': [0.004543063205099036, 0.005109707535114753], 'uz': [-0.0055870908083584725, -0.0047611025051898445]}"
0.0001,9.989682658907932e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux', 'uy']","{'ux': [-0.02832753385420257, -0.012504353027620322], 'uy': [0.03307530241319982, 0.05396600768121905], 'uz': [-0.03015695539442099, -0.007306984547792935]}"
0.0001,9.9423042770586e-05,10000,hydrogen,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [-0.034995873656262035, -0.026200981976477633], 'uy': [0.01363177576647099, 0.028308171219248605], 'uz': [-0.001214113145978692, 0.0156797918489823]}"
0.0001,0.0001005384961647,10000,hydrogen,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uz', 'uy', 'y', 'ux']","{'x': [-1.04999991039802e-05, -9.000002477190496e-06], 'y': [6.000000154936633e-06, 7.413825373212994e-06], 'z': [2.506579097897835e-05, 2.657894613476685e-05], 'ux': [0.0002329924611930139, 0.011027948462145882], 'uy': [-0.008909104535758277, -0.004385620212946404], 'uz': [0.03932794775747489, 0.06597466823632143]}"
0.0001,0.0001002946312428,10000,hydrogen,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['ux', 'uz', 'y', 'z']","{'x': [6.00000013589134e-06, 7.499999641982651e-06], 'y': [4.1346884948869303e-07, 3.7710763562874186e-06], 'z': [3.812957879462228e-05, 3.9337780487466966e-05], 'ux': [-0.01500484172944008, -0.008356170377528605], 'uy': [-0.005907183033466281, -0.0015900041433167293], 'uz': [0.009258903311107007, 0.012368205327261652]}"
0.0001,9.94451430291292e-05,10000,hydrogen,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['ux', 'uz', 'x', 'uy', 'y', 'z']","{'x': [-5.965518720752328e-06, -4.61063699358616e-06], 'y': [4.61112636518051e-06, 6.062912561307614e-06], 'z': [8.380683339765306e-06, 9.918630714603146e-06], 'ux': [-0.07116110506316488, 0.002699208619738963], 'uy': [-0.003727073434902556, 0.07007710547090124], 'uz': [-0.03623814467375346, 0.02136910654795182]}"
0.0001,0.0001009802727122,10000,hydrogen,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uy', 'uz', 'y', 'ux']","{'x': [-4.499999790993395e-06, -3.0000004601739205e-06], 'y': [-1.1160103284779514e-05, -8.767668179813077e-06], 'z': [-2.1842102204857792e-05, -2.0328947893345978e-05], 'ux': [0.00029913979782286086, 0.0011335841449703998], 'uy': [-0.014791555706548535, 0.004043170480816342], 'uz': [-0.04094035550974457, -0.0326065475154639]}"
0.0001,9.94398084839636e-05,10000,hydrogen,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uz', 'y', 'ux', 'uy', 'x']","{'x': [7.446904020852084e-06, 9.053089175826818e-06], 'y': [-3.1137044378455344e-06, -1.3855337370142107e-06], 'z': [9.93421889007065e-06, 1.1447367332406475e-05], 'ux': [-0.008887093428852966, 0.13339437749404823], 'uy': [-0.054291776110780815, 0.002376259156124185], 'uz': [-0.08758735996830666, 0.047168806881120406]}"
