target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001002428099469,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.01790720406329212, -0.013299081174686877], 'uy': [-1.3082342488809192e-05, 7.895960928261674e-05]}"
0.0001,0.0001003949206919,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.08026920167338167, -0.04957525944906638], 'uy': [0.0058889196423389375, 0.009725635388662002]}"
0.0001,9.90502342712987e-05,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.0010533616970043772, -0.0009125257689014979], 'uy': [-0.0006187045901618138, -0.0005068552830785214]}"
0.0001,0.0001001111228891,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.01599148332777267, 0.017441823629326815], 'uy': [0.02002398453579588, 0.023025022843045542]}"
0.0001,9.922535976830652e-05,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.037340363602267855, -0.02357943924542625], 'uy': [-0.06940278527220747, -0.04922839172520692]}"
0.0001,9.99627463257685e-05,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.0008160420091183347, -0.0006916385351139558], 'uy': [-0.003460822416783812, -0.0033014526694700817]}"
0.0001,0.0001009116094951,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.003211259139482135, 0.003595631756149061], 'uy': [0.004676955610899132, 0.004955405932290002]}"
0.0001,0.0001001843585735,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.005777068173536777, 0.006511344194784687], 'uy': [0.007531094872504918, 0.00813219538694351]}"
0.0001,0.0001002370943628,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.017211052974262377, 0.018332744922391057], 'uy': [0.004136448368316233, 0.005021217320762295]}"
0.0001,0.0001007124785448,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.07079009909470202, -0.03855701188827796], 'uy': [-0.0016402855622758492, -0.0004688043062471936]}"
0.0001,9.958887091744806e-05,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.04915600499079966, 0.06775562662891019], 'uy': [-0.029886452421464187, -0.02005164396327354]}"
0.0001,9.999848777837802e-05,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.013201124255636118, 0.021055125358730595], 'uy': [-0.04920942211614042, -0.04138643096015586]}"
0.0001,0.0001002697112961,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.003529520984820212, 0.0037927459514080558], 'uy': [0.0011664350779541088, 0.001315423093942213]}"
0.0001,9.943622671792384e-05,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.03081255693114916, -0.023346021835604528], 'uy': [-0.06423059293335326, -0.04050958820608597]}"
0.0001,9.94714347160168e-05,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.001184778918297164, -0.0010746647023989128], 'uy': [0.002493094529970594, 0.0026435374976170435]}"
0.0001,9.980217651628396e-05,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.00034728047150574357, -0.00024278590312626865], 'uy': [-0.005117879054733533, -0.004734557988203439]}"
0.0001,0.0001009564958823,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.0067249404551263285, -0.0062065215723945315], 'uy': [-0.006066848937504289, -0.005259054487206032]}"
0.0001,0.0001004784444277,10000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.002588200372597638, 0.0028739739711770495], 'uy': [0.0009099894816853449, 0.0010000392487356357]}"
0.0001,9.99939915188813e-05,10000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.0037786455770043147, 0.004031727670973709], 'uy': [0.002381307254522236, 0.0025960180368145543]}"
