target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001005186394693,500,electrons,"('ux',)",['ux'],"{'ux': [-0.00017993882145995305, -0.00017971366679979275]}"
0.0001,0.0001006635486084,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [3.21154209650796e-05, 6.509957656883304e-05], 'uy': [-0.0006029176508830782, -0.0002539190030947781], 'uz': [-0.0004867193636861238, -0.00021000904899415816]}"
0.0001,0.000100615245562,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'y', 'uz']","{'x': [5.899790086034863e-06, 0.0007471252507241843], 'y': [-0.007783071979394569, 0.004872585756536189], 'z': [3.207523352388741e-05, 0.0037489555693833746], 'ux': [0.0036751941611719912, 0.34866599994025627], 'uy': [-0.972466285639952, -0.356336747442182], 'uz': [-139.18531050168534, 137.22803211607751]}"
0.0001,9.923860874088062e-05,500,electrons,"('x',)",['x'],"{'x': [1.7481081094707878e-06, 1.7557858595799876e-06]}"
0.0001,0.0001005427909925,500,electrons,"('x', 'y', 'z')","['z', 'y']","{'x': [-1.9977028013967064e-06, -1.5030131993751547e-06], 'y': [-2.468416969165304e-06, 3.123772285897889e-06], 'z': [-1.6130024102526616e-06, 3.902341177688997e-06]}"
0.001,0.0009930381785346,500,electrons,"('ux',)",['ux'],"{'ux': [2.982672311872736e-05, 3.0787999465726824e-05]}"
0.001,0.0010050414855543,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [-0.004959039468570592, -0.0036376312000076893], 'uy': [-0.029123818559519996, -0.005626030773175042], 'uz': [-0.004606519103886709, 0.07760129818002132]}"
0.001,0.0010069253043623,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['x', 'y', 'ux', 'uz', 'z']","{'x': [-0.12062476476286932, 0.11837444770655825], 'y': [-0.0037389251757236077, 0.0004586745118914707], 'z': [2.4493728979744188e-05, 0.005032836243347198], 'ux': [-0.1434449628343521, -0.0546371533731212], 'uy': [-0.024728363311706685, 0.17733323644822876], 'uz': [-1.7679101105948083, 2.0826702174245497]}"
0.001,0.0009967333615809,500,electrons,"('x',)",['x'],"{'x': [-1.1369806049871513e-06, -1.1139758143088432e-06]}"
0.001,0.0010094853658192,500,electrons,"('x', 'y', 'z')","['y', 'z']","{'x': [1.506344174570383e-06, 1.99820045281655e-06], 'y': [-8.657660867805858e-06, 7.067507022962625e-06], 'z': [-8.472956869637248e-06, 1.0552309042223661e-05]}"
0.01,0.0100763777429609,500,electrons,"('ux',)",['ux'],"{'ux': [0.00012936972409104377, 0.0001510288622136707]}"
0.01,0.0100698568317027,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [-0.00017471680090196096, -6.211966720079081e-06], 'uy': [-5.6385102469196536e-05, 0.0003156496712188929], 'uz': [-0.0002836850830373136, 8.6091515240775e-05]}"
0.01,0.0100255387866699,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['x', 'z', 'ux']","{'x': [-0.06525054037607221, 0.06174687302002886], 'y': [5.57331069688507e-06, 8.80361886533299e-05], 'z': [6.542214092571802e-06, 0.0061122294405698725], 'ux': [-62.723179489844945, 62.876250152632686], 'uy': [-0.2186301524048731, 0.6360606743994914], 'uz': [0.0026935895319220994, 0.03963985386270096]}"
0.01,0.0100993216899806,500,electrons,"('x',)",['x'],"{'x': [-5.78407298244375e-07, -1.7641709669186195e-07]}"
0.01,0.0099178229932934,500,electrons,"('x', 'y', 'z')","['x', 'y', 'z']","{'x': [-2.30959586971187e-05, 2.5346091413248073e-05], 'y': [-3.364924698728053e-06, 8.355450562552981e-07], 'z': [7.496720495914703e-07, 4.94518747943567e-06]}"
0.1,0.0990157384849884,500,electrons,"('ux',)",['ux'],"{'ux': [-7.376450888440148e-05, -3.5994717896114647e-09]}"
0.1,0.1007688492494769,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [0.0001232849179873583, 0.0011910286450207037], 'uy': [-0.047369653205813655, 0.041193018625993186], 'uz': [-0.0006681614766482122, 0.009589058972125876]}"
0.1,0.0997647013702801,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uz', 'y', 'x', 'ux', 'uy', 'z']","{'x': [-0.03850716964617553, 0.037757169646176016], 'y': [-0.004001535130028655, 2.8878874147191674e-05], 'z': [-0.002569430181835991, 0.011663180180633424], 'ux': [-9.461108355316872e-06, 9.622771233499278e-06], 'uy': [-0.003188481958183637, 0.003148746199446341], 'uz': [-0.000610147787328176, 0.0006037038399216897]}"
0.1,0.0990749338682992,500,electrons,"('x',)",['x'],"{'x': [-3.752958431503416e-06, 2.490419695089035e-07]}"
0.1,0.1005645273633859,500,electrons,"('x', 'y', 'z')","['y', 'x', 'z']","{'x': [-5.320058776960027e-05, 5.095060040246697e-05], 'y': [-5.891067237368784e-06, 8.984993772700721e-06], 'z': [-4.569861701922053e-06, 1.2813544222373388e-05]}"
