target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001007360031779,500,electrons,"('ux',)",['ux'],"{'ux': [-0.00018922979926008473, -0.00018896117177809595]}"
0.0001,0.000100349578807,500,electrons,"('ux',)",['ux'],"{'ux': [-5.161594696142246e-05, -5.150844297021957e-05]}"
0.0001,9.967333615809548e-05,500,electrons,"('ux',)",['ux'],"{'ux': [3.422967992038075e-05, 3.433228226741524e-05]}"
0.0001,9.923860874088062e-05,500,electrons,"('ux',)",['ux'],"{'ux': [0.0016590263697584926, 0.0016614243883111214]}"
0.0001,0.0001004703364229,500,electrons,"('ux',)",['ux'],"{'ux': [0.011525942973972806, 0.011561351990815427]}"
0.0001,9.972163920445268e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-1.1085957898141085e-05, -1.101089759989513e-05]}"
0.0001,9.97457907276313e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-0.0007254949644993354, -0.0007247498768010719]}"
0.0001,9.933521483359504e-05,500,electrons,"('ux',)",['ux'],"{'ux': [4.121731242225448e-05, 4.13194178728034e-05]}"
0.0001,9.993900291306013e-05,500,electrons,"('ux',)",['ux'],"{'ux': [5.501947825296045e-05, 5.513042191773196e-05]}"
0.0001,0.0001002529727143,500,electrons,"('ux',)",['ux'],"{'ux': [0.0031500158673523995, 0.003155297056782689]}"
0.0001,9.923860874088062e-05,500,electrons,"('ux',)",['ux'],"{'ux': [0.00022020402664347418, 0.00022050747158014377]}"
0.0001,0.0001009050638402,500,electrons,"('ux',)",['ux'],"{'ux': [4.160523600088189e-06, 4.210115831121716e-06]}"
0.0001,9.97699422508099e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-5.551136516988865e-05, -5.540311636084565e-05]}"
0.0001,0.0001001080635753,500,electrons,"('ux',)",['ux'],"{'ux': [1.7841539677687844e-05, 1.792906464701347e-05]}"
0.0001,9.950427549584528e-05,500,electrons,"('ux',)",['ux'],"{'ux': [0.004604059316960416, 0.004613148361327822]}"
0.0001,0.0001003254272839,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [-0.00020287511894927614, -0.00019146199162757284], 'uy': [-0.00021487363694903662, -0.00010743647817883406]}"
0.0001,9.957673006538108e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.0033060977335267654, -0.0030239153752916687], 'uy': [-0.003992298940491954, -0.0036170691877865173]}"
0.0001,0.0001002771242375,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.00792818010575228, 0.00865805721212017], 'uy': [-0.0010623565731074911, -0.0006136813875684674]}"
0.0001,9.91178511249876e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.0008622202565808451, -0.0006532696394287639], 'uy': [-0.004925537171746475, -0.004561973348431135]}"
0.0001,0.0001006393970852,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [-2.3418607388970996e-05, -2.0286983724399857e-05], 'uy': [0.00022581958450884268, 0.0002878592540086991]}"
0.0001,9.993900291306013e-05,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.004954569271264041, 0.005779194366064449], 'uy': [0.02189335480067965, 0.03263081760655969]}"
0.0001,9.964918463491687e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.002672711074936149, -0.0024931759947778576], 'uy': [-0.0002887276429364919, -0.00018102943192483924]}"
0.0001,9.991485138988152e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [-7.288279350375953e-08, -3.533120617675266e-08], 'uy': [3.149088296718148e-05, 6.692196147863947e-05]}"
0.0001,9.933521483359504e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.00015343411939212608, 0.0001645856979605311], 'uy': [-0.004970487735133059, -0.003402055065325356]}"
0.0001,9.97699422508099e-05,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.0001400252421846928, 0.00014374040777403706], 'uy': [0.00019464941902872903, 0.00038413229174994736]}"
0.0001,9.943182092630944e-05,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [3.360229621127696e-06, 4.6635760441627e-06], 'uy': [4.589436486587324e-05, 6.218522834194239e-05]}"
0.0001,0.0001003012757607,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.0002986465670879168, 0.00032396874088583527], 'uy': [0.0004996430498190992, 0.0005486370286256029]}"
0.0001,0.0001005910940388,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.0002088892896969385, 0.00023845433089915219], 'uy': [0.0004019611848700756, 0.0004296384493393275]}"
0.0001,9.97457907276313e-05,500,electrons,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.0017757176432905248, -0.0016533159399449505], 'uy': [0.0006840263727867192, 0.0008363031126057466]}"
0.0001,0.0001005186394693,500,electrons,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.0017135997252698558, 0.0018110437480123437], 'uy': [-0.00015684105684304396, -2.0754159860218187e-05]}"
0.0001,0.0001004703364229,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [5.282296854337066e-06, 1.1545774343591047e-05], 'uy': [0.00010659756255792407, 0.00021095902110522736], 'uz': [1.4626885514144121e-05, 2.9286875203982146e-05]}"
0.0001,9.960088158855968e-05,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [-4.2016082812295235e-05, -2.4680800146726702e-05], 'uy': [1.1048316087996025e-05, 4.757991632290132e-05], 'uz': [-0.00014126942753397816, 5.345289416610101e-06]}"
0.0001,0.0001004944879461,500,electrons,"('ux', 'uy', 'uz')","['uz', 'ux']","{'ux': [-3.252905782700696e-06, -1.8135925699347791e-06], 'uy': [1.5757613580167552e-06, 0.0001635066113225017], 'uz': [5.874330527137088e-06, 1.0502025276680707e-05]}"
0.0001,0.0001009775184097,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-3.4285458262080206e-06, -1.730708248304872e-06], 'uy': [1.4436995374719863e-05, 3.486916719347677e-05], 'uz': [-1.8366552260389993e-05, 1.4612251139955594e-06]}"
0.0001,0.0001007360031779,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-1.343479132686187e-05, -1.242337174760466e-05], 'uy': [0.00015518922394381287, 0.00036124056874887436], 'uz': [-0.00019179981363122526, 5.55734958385125e-05]}"
0.0001,0.0001004944879461,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [5.007502459187178e-05, 0.00011727570553487663], 'uy': [-0.0001021259331000313, 0.0002388093115548507], 'uz': [-9.110450302777433e-07, 9.595297398086327e-06]}"
