target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,0.0001009775184097,500,electrons,"('ux',)",['ux'],"{'ux': [-0.0009535118682907291, -0.000952485969597308]}"
0.0001,9.967333615809548e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-1.4461087910478131e-06, -1.419777591066521e-06]}"
0.0001,0.0001007843062243,500,electrons,"('ux',)",['ux'],"{'ux': [2.088437676840042e-05, 2.0971842571867772e-05]}"
0.0001,0.0001006635486084,500,electrons,"('ux',)",['ux'],"{'ux': [0.0011636304916018702, 0.001165019165892714]}"
0.0001,0.0001007360031779,500,electrons,"('ux',)",['ux'],"{'ux': [4.9630627239904375e-05, 4.973855065068867e-05]}"
0.0001,0.000100204669668,500,electrons,"('ux',)",['ux'],"{'ux': [1.066165587650241e-05, 1.0735075418125698e-05]}"
0.0001,9.986654834352432e-05,500,electrons,"('ux',)",['ux'],"{'ux': [3.4166396441738884e-05, 3.4268547200684976e-05]}"
0.0001,9.964918463491687e-05,500,electrons,"('ux',)",['ux'],"{'ux': [0.00017322736377555243, 0.00017344851705938902]}"
0.0001,9.967333615809548e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-5.287692460584998e-09, -5.0440345507960826e-09]}"
0.0001,0.0001002529727143,500,electrons,"('ux',)",['ux'],"{'ux': [0.0031500158673523995, 0.003155297056782689]}"
0.0001,0.0001004703364229,500,electrons,"('ux',)",['ux'],"{'ux': [1.0957515234987583e-10, 1.1699491538588482e-10]}"
0.0001,0.000100349578807,500,electrons,"('ux',)",['ux'],"{'ux': [-5.161594696142246e-05, -5.150844297021957e-05]}"
0.0001,0.0001001322150984,500,electrons,"('ux',)",['ux'],"{'ux': [-0.000165371383116759, -0.00016515225743895872]}"
0.0001,9.931106331041644e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-0.000184697296467061, -0.00018445340362345153]}"
0.0001,0.0001002288211912,500,electrons,"('ux',)",['ux'],"{'ux': [-0.004400530900150778, -0.004391772263552215]}"
0.0001,9.926276026405924e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-6.821367892463986e-10, -6.464924089312616e-10]}"
0.0001,0.0001009292153633,500,electrons,"('ux',)",['ux'],"{'ux': [0.000655505131378257, 0.0006562463099834548]}"
0.0001,9.928691178723785e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-3.798194204020041e-05, -3.788030976834528e-05]}"
0.0001,0.0001008084577474,500,electrons,"('ux',)",['ux'],"{'ux': [1.3672412131885182e-05, 1.3751222730790152e-05]}"
0.0001,0.0001001805181448,500,electrons,"('ux',)",['ux'],"{'ux': [1.1033130894218078e-05, 1.1107375462144335e-05]}"
0.0001,0.0001009050638402,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [4.141655741383447e-05, 9.023562318458344e-05], 'uy': [-4.6566915436929224e-05, 7.770747351841032e-05], 'uz': [-6.62756943181183e-05, -9.527514959689967e-06]}"
0.0001,0.0001007118516547,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz']","{'ux': [4.970323131510444e-07, 0.0001127736679547669], 'uy': [-0.001228956614913038, -0.0009615621463093342], 'uz': [0.00022902891337385183, 0.0002630584781062419]}"
0.0001,9.9093699601809e-05,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [3.2286035176675177e-07, 8.122136865365647e-06], 'uy': [-0.00032961201619906283, -0.00015857432471115803], 'uz': [-0.00010676697245659993, -2.9475817581465316e-05]}"
0.0001,9.945597244948806e-05,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [0.000806386512422552, 0.0011967333038154842], 'uy': [-0.0026896699404775426, -0.0023805220406824083], 'uz': [-0.001780612064664127, -0.00017418964298584994]}"
0.0001,0.0001007360031779,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [-1.343479132686187e-05, -1.242337174760466e-05], 'uy': [0.00015518922394381287, 0.00036124056874887436], 'uz': [-0.00019179981363122526, 5.55734958385125e-05]}"
0.0001,9.9093699601809e-05,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-1.273470656561831e-05, -2.4010299596558834e-06], 'uy': [-0.00013793883572154106, -5.5858152062878456e-05], 'uz': [6.684120792514887e-06, 3.0482960831011526e-05]}"
0.0001,0.0001001563666216,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux', 'uz']","{'ux': [5.978989100839125e-07, 4.601807401117598e-05], 'uy': [-8.551038183356028e-05, 3.514042323323771e-05], 'uz': [-0.000414260649973481, -0.00013253206525667396]}"
0.0001,9.945597244948806e-05,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.0002690998423273358, -0.00011571656639390107], 'uy': [-0.0001199741107014061, 8.241175627983235e-05], 'uz': [-0.00019014908588221995, -6.156000495692108e-05]}"
0.0001,0.0001007843062243,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [-5.943142418645295e-07, 1.6483254947605048e-08], 'uy': [-2.9196457869092414e-06, 3.191555197983153e-05], 'uz': [2.2992678042316396e-06, 3.7602493988300015e-06]}"
0.0001,0.0001009775184097,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz']","{'ux': [-1.0787679805384684e-08, -8.899371530265203e-13], 'uy': [5.247165218518615e-06, 1.1437261331161767e-05], 'uz': [-2.9503049551315e-08, 8.581381985128085e-08]}"
0.0001,0.0001008326092706,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [5.277074884419249e-07, 5.538471502156123e-07], 'uy': [-0.00010942354275603963, 4.2765753877925636e-05], 'uz': [-1.9355001899067455e-05, 4.3313510717963956e-05]}"
0.0001,0.0001005186394693,500,electrons,"('ux', 'uy', 'uz')",['ux'],"{'ux': [-0.0016650602766049626, -0.0016584729222439618], 'uy': [-0.015506649701084854, 0.022287721376562958], 'uz': [-0.0021091703200241045, 0.0014567386041932128]}"
0.0001,0.0001002771242375,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [-4.137246276653963e-10, 5.681087463867253e-09], 'uy': [2.9867616790116577e-06, 8.81286842544534e-06], 'uz': [5.545224515796409e-08, 1.556675062084669e-07]}"
0.0001,9.979409377398852e-05,500,electrons,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [0.00011240043245040941, 0.0005788330430742359], 'uy': [0.0003206139649769529, 0.00035336711201086135], 'uz': [6.0193466175076776e-05, 8.653474041112015e-05]}"
0.0001,9.928691178723785e-05,500,electrons,"('ux', 'uy', 'uz')","['uy', 'ux']","{'ux': [0.021029231671353146, 0.022812263178227796], 'uy': [-0.016174922784036098, -0.006120524041229393], 'uz': [-0.05016592511088785, 0.020462176299892172]}"
0.0001,9.90695480786304e-05,500,electrons,"('ux', 'uy', 'uz')",['uz'],"{'ux': [-0.0011728310546154062, 0.0024675882309487893], 'uy': [-0.002236361460546721, 0.0006357732023369554], 'uz': [0.00026762037289618034, 0.00026838521030189867]}"
0.0001,9.998730595941732e-05,500,electrons,"('ux', 'uy', 'uz')","['uz', 'uy']","{'ux': [-4.716513493780488e-05, 0.0002136044087244818], 'uy': [-7.748970597522074e-05, -1.3922727457693442e-05], 'uz': [-0.0010047892287444694, -0.0006168340422386822]}"
0.0001,9.952842701902386e-05,500,electrons,"('ux', 'uy', 'uz')","['uy', 'uz', 'ux']","{'ux': [-5.04433866520995e-06, -1.3640881168024704e-06], 'uy': [8.14773089836743e-05, 0.00013455422098581716], 'uz': [1.057136900951153e-05, 3.98016202542454e-05]}"
0.0001,0.0001004220333766,500,electrons,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [-0.00011806027128812549, -3.247746107077502e-05], 'uy': [-6.92747934156799e-05, 0.00010500178628276438], 'uz': [-3.878471405594064e-05, -5.955700176878719e-06]}"
0.0001,9.964918463491687e-05,500,electrons,"('ux', 'uy', 'uz')",['uy'],"{'ux': [-6.091359931861724e-08, 2.98613563360656e-06], 'uy': [5.2960836282333606e-05, 6.12453933715014e-05], 'uz': [-4.6131377285534485e-07, 1.2486448402198854e-05]}"
0.0001,0.0001000356090057,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uy', 'z', 'x', 'y']","{'x': [-0.00987012603974904, 0.013374374006552316], 'y': [1.1698062490328974e-05, 0.0038319492693502473], 'z': [-0.003185383177533814, 0.004628927054225263], 'ux': [-0.04076821569294742, -0.009037294502705262], 'uy': [-1.3552911111493589, 1.440669727047824], 'uz': [-0.004915747918649767, 0.00402227150363419]}"
0.0001,9.916615417134482e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'x', 'z']","{'x': [-7.774405743438671e-05, 0.003583503798662164], 'y': [2.060126453808488e-06, 0.0017780796365874276], 'z': [-0.0017269317834119244, 0.0023184103258774564], 'ux': [0.031051336322352532, 0.4138776565635757], 'uy': [0.02811199325485535, 0.09030502704324657], 'uz': [-0.2337222788226464, -0.10206497432143762]}"
0.0001,9.940766940313085e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'x', 'ux']","{'x': [-0.008920780758272061, 0.006668140077718281], 'y': [-0.0034664955099094844, -2.9898291047192414e-06], 'z': [6.973525642099429e-06, 2.400876594736796e-05], 'ux': [-10.434212833810385, 9.80436911463497], 'uy': [-0.6504809142861104, 0.003658986748966056], 'uz': [-0.8055245587599748, -0.17070652223474928]}"
0.0001,9.931106331041644e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'y', 'x', 'uz']","{'x': [-0.0026226255467797213, 0.001866633192327865], 'y': [-0.0012083430176484263, 0.003552125630222934], 'z': [3.724694508117662e-05, 0.0033190132708259736], 'ux': [-0.3182827074637245, -0.002847791295645932], 'uy': [-0.23466059051701627, 0.20754983825478351], 'uz': [-43.25571367029049, 38.91781392193515]}"
0.0001,0.0001001080635753,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['uy', 'y', 'x', 'z']","{'x': [-0.0523373710850878, 0.05458745985458669], 'y': [9.087160284187469e-06, 0.0038343132167815213], 'z': [-0.004487837367004442, 0.011031823313865664], 'ux': [0.01439319804940949, 0.02400570774186544], 'uy': [-17.76377222479289, 17.726721638104056], 'uz': [0.016051604433113993, 0.033536154958310985]}"
0.0001,0.0001003254272839,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'x', 'z', 'uy']","{'x': [-0.009424006517210218, 0.005920404798273781], 'y': [-6.527365184608131e-05, 0.0009086295252458], 'z': [3.391425168464959e-05, 0.005660001262651473], 'ux': [0.027283282743404073, 0.13493239810970725], 'uy': [-7.147751130706141, 7.228365641835404], 'uz': [0.012240229239445014, 0.03470362697282037]}"
0.0001,0.0001004944879461,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['ux', 'y', 'uy', 'z']","{'x': [-0.0007441587233181312, -5.859559128720983e-06], 'y': [-0.004925832158315983, 0.0009534024832163345], 'z': [1.4356166110787976e-05, 0.0056795649553731675], 'ux': [-1.7165249648832817, 1.682503926635188], 'uy': [-3.9916300098209483, 4.298092329815413], 'uz': [0.10096288014732471, 0.20787347454636307]}"
0.0001,0.0001004461848998,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'uy', 'x', 'ux']","{'x': [-0.00036223769772758974, 0.0038691249334046433], 'y': [2.050489803081824e-06, 0.00046611784902178034], 'z': [2.357732612246669e-06, 2.329948355204419e-05], 'ux': [-0.03749427306218456, 1.3543019738513866], 'uy': [-0.12036519485258948, 0.17995840870338228], 'uz': [-1.039980386937569, -0.3404390286083102]}"
0.0001,9.993900291306013e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'ux', 'y', 'x']","{'x': [-0.005131134320967088, 0.001629408947033584], 'y': [-0.0009154115810759637, 0.00026290058926610005], 'z': [3.005063623761576e-05, 0.0016244308787822337], 'ux': [-1.8923403117749746, 1.9761338019732357], 'uy': [-0.057274028135242364, 0.05796602547101958], 'uz': [-0.3589671134391658, -0.08134344577991874]}"
0.0001,0.0001009775184097,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['x', 'z', 'y', 'uz']","{'x': [-0.009691344828586853, 0.011936869574707049], 'y': [-0.0025214150956363256, -9.676239468461249e-06], 'z': [-0.001851259541250486, 0.003080759918633951], 'ux': [0.016370924943865245, 0.13149488039996696], 'uy': [-0.16213389336328654, -0.0027571920563045516], 'uz': [-23.00046468269681, 23.016971095074354]}"
0.0001,9.935936635677363e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['ux', 'z', 'x', 'y']","{'x': [-0.01873168225858331, 0.020978863829364026], 'y': [3.533001383471037e-06, 0.001966221917170954], 'z': [-0.0002157734296242776, 0.003989983891755917], 'ux': [-25.71309564877654, 26.53084290218896], 'uy': [-0.020488129874899744, 0.3230386303446156], 'uz': [-2.2406988280821887, -0.36924300990903375]}"
0.0001,0.0001008567607938,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'uz', 'uy', 'y']","{'x': [-0.0007214985485567777, -2.465953600250669e-08], 'y': [-0.00023249461669605476, 0.00013867683712789778], 'z': [-0.00023987282048572892, -1.3833291481234942e-06], 'ux': [-68.24809504914498, 3.429998060873952], 'uy': [-108.01273019017042, 66.93034933916023], 'uz': [-497.13806447675586, 358.1330156167319]}"
0.0001,9.923860874088062e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'z', 'x', 'uy', 'uz']","{'x': [-0.003994534968396611, 0.0004881420747159576], 'y': [4.133907014858073e-06, 0.00027727082221755666], 'z': [-0.00011214478381449023, 0.00048802717526358775], 'ux': [-0.7359998803871273, -0.1806750624364601], 'uy': [-0.34806334364605035, 0.37747354395964133], 'uz': [-1.2855964287185553, 0.8934222650469423]}"
0.0001,0.0001005910940388,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['x', 'ux', 'uz', 'y', 'z']","{'x': [-0.005054906191680693, 0.007302011021653215], 'y': [6.5296924070322275e-06, 0.0015872493246607052], 'z': [2.2297253615094752e-05, 0.00035929893105891993], 'ux': [0.034527454620762565, 1.8582111378174906], 'uy': [-0.010610699798199088, 0.4116918221460909], 'uz': [-87.90389120071578, 91.10864569085581]}"
0.0001,9.921445721770204e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'y', 'ux', 'x']","{'x': [-0.015153461606447743, 0.01164950599020011], 'y': [-0.0037671077624310176, 0.0006737287724289374], 'z': [1.8326109266798667e-05, 0.004825639240310739], 'ux': [-11.991083979108966, 11.897691889378462], 'uy': [0.059607592232741306, 0.15802468445747703], 'uz': [0.023198572280756058, 0.12868095618609585]}"
0.0001,9.986654834352432e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['z', 'y', 'ux']","{'x': [5.868402805230231e-06, 0.0007449822479374417], 'y': [-0.003274386486900602, -6.224509237066347e-06], 'z': [-0.00022577658375053577, 0.004859982294802492], 'ux': [-57.87352712924937, 58.0906342527191], 'uy': [-0.6232568399533672, -0.07685510000872449], 'uz': [-0.25823298862506155, 0.07349795896901866]}"
0.0001,9.931106331041644e-05,500,electrons,"('ux', 'uy', 'uz', 'x', 'y', 'z')","['y', 'x', 'ux', 'z', 'uy']","{'x': [-0.10419862997640883, 0.10345043585992658], 'y': [-0.007372403739491027, 0.009716118613414898], 'z': [3.4363034231128494e-05, 0.0007718659701998988], 'ux': [-3.396017893224503, 2.935540211040083], 'uy': [-10.888811783864611, 11.591997200907453], 'uz': [0.4881833875600224, 2.4214581521109197]}"
