target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,0.0001007360031779,500,electrons,"('ux',)",['ux'],"{'ux': [-0.00018922979926008473, -0.00018896117177809595]}",0.6047267913818359,0.0,0.0,0.0,0,0.6047267913818359,0.0
0.0001,0.000100349578807,500,electrons,"('ux',)",['ux'],"{'ux': [-5.161594696142246e-05, -5.150844297021957e-05]}",0.5302107334136963,0.0,0.0,0.0,0,0.5302107334136963,0.0
0.0001,9.967333615809548e-05,500,electrons,"('ux',)",['ux'],"{'ux': [3.422967992038075e-05, 3.433228226741524e-05]}",0.5649223327636719,0.0,0.0,0.0,0,0.5649223327636719,0.0
0.0001,9.923860874088062e-05,500,electrons,"('ux',)",['ux'],"{'ux': [0.0016590263697584926, 0.0016614243883111214]}",0.37992358207702637,0.0,0.0,0.0,0,0.37992358207702637,0.0
0.0001,0.0001004703364229,500,electrons,"('ux',)",['ux'],"{'ux': [0.011525942973972806, 0.011561351990815427]}",0.25711536407470703,0.0,0.0,0.0,0,0.25711536407470703,0.0
0.0001,9.972163920445268e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-1.1085957898141085e-05, -1.101089759989513e-05]}",0.4762308597564697,0.0,0.0,0.0,0,0.4762308597564697,0.0
0.0001,9.97457907276313e-05,500,electrons,"('ux',)",['ux'],"{'ux': [-0.0007254949644993354, -0.0007247498768010719]}",0.31500887870788574,0.0,0.0,0.0,0,0.31500887870788574,0.0
0.0001,9.933521483359504e-05,500,electrons,"('ux',)",['ux'],"{'ux': [4.121731242225448e-05, 4.13194178728034e-05]}",0.5337843894958496,0.0,0.0,0.0,0,0.5337843894958496,0.0
0.0001,9.993900291306013e-05,500,electrons,"('ux',)",['ux'],"{'ux': [5.501947825296045e-05, 5.513042191773196e-05]}",0.49720287322998047,0.0,0.0,0.0,0,0.49720287322998047,0.0
0.0001,0.0001002529727143,500,electrons,"('ux',)",['ux'],"{'ux': [0.0031500158673523995, 0.003155297056782689]}",0.3171408176422119,0.0,0.0,0.0,0,0.3171408176422119,0.0
