query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,skip_offset,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,chunk_range_size,current_percentage,iteration,species,expand_set,envelope,data_size
0.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.85315823554993,7.506694793701172,12.142500638961792,2.068852186203003,0.21835851669311523,93.03533887863159,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93524.0
0.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.018418312072753906,,0.0009715557098388672,0.21335864067077637,,7.082085132598877,2.402406692504883,0.13732337951660156,0.9851114749908447,0.13683819770812988,11.032123327255249,3858.0,698.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93537.0
0.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.02930450439453125,,0.0009891986846923828,0.2149968147277832,,7.153520584106445,2.5905182361602783,0.13912749290466309,1.249103307723999,0.13753986358642578,11.639222145080566,3858.0,698.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93537.0
1.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,72.59261083602905,7.35778021812439,11.8849196434021,2.0038626194000244,0.21491765975952148,94.29907488822937,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92937.0
1.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.02053976058959961,,0.0010957717895507812,0.2413163185119629,,7.192009925842285,2.3023688793182373,0.13403820991516113,1.1264376640319824,0.13408613204956055,11.205530166625977,4412.0,675.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92932.0
1.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.03129315376281738,,0.001110076904296875,0.24272370338439941,,7.275722026824951,2.4846675395965576,0.1371457576751709,1.2602648735046387,0.1353001594543457,11.69369101524353,4412.0,675.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92932.0
2.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.81959795951843,7.593666076660156,12.155781745910645,1.9661979675292969,0.21254730224609375,92.99589514732361,,,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92482.0
2.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.019602060317993164,,0.0010232925415039062,0.22011590003967285,,7.135406017303467,2.4517598152160645,0.13532757759094238,1.0174074172973633,0.13653039932250977,11.179076433181763,4127.0,681.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92449.0
2.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.03101944923400879,,0.0010638236999511719,0.22137022018432617,,7.012893915176392,2.4740538597106934,0.13217997550964355,1.2058165073394775,0.12990641593933105,11.327833890914917,4127.0,681.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92449.0
3.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.32465052604675,7.2555460929870605,11.730382204055786,1.9698472023010254,0.21330022811889648,91.73555898666382,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93651.0
3.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.01947784423828125,,0.0010678768157958984,0.2198019027709961,,7.076387405395508,2.394535779953003,0.14133238792419434,1.009650468826294,0.13671135902404785,11.05587100982666,4157.0,660.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93638.0
3.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.030250072479248047,,0.0010828971862792969,0.22641396522521973,,7.189115047454834,2.622830867767334,0.1395888328552246,1.287703037261963,0.13769316673278809,11.762366533279419,4157.0,660.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93638.0
4.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.65239763259888,7.361353635787964,11.90592885017395,2.009862184524536,0.21460556983947754,92.38822364807129,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92616.0
4.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.01874518394470215,,0.001004934310913086,0.21383953094482422,,7.133693695068359,2.5960171222686768,0.13932418823242188,1.2533512115478516,0.13731741905212402,11.618131637573242,3952.0,673.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92604.0
4.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.0295255184173584,,0.001020193099975586,0.21411800384521484,,7.154795169830322,2.5906264781951904,0.13888764381408691,1.2496469020843506,0.13715863227844238,11.639450311660767,3952.0,673.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92604.0
5.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.87657928466797,7.629561901092529,12.30043339729309,2.098816394805908,0.2193460464477539,93.37490558624268,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93601.0
5.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.018361330032348633,,0.0009644031524658203,0.19826889038085938,,7.090608835220337,2.5353763103485107,0.13579702377319336,1.2012932300567627,0.13404607772827148,11.435039043426514,3739.0,695.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93590.0
5.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.029279470443725586,,0.0009686946868896484,0.2005753517150879,,7.148467302322388,2.6140944957733154,0.13891148567199707,1.2741034030914307,0.1374354362487793,11.668600082397461,3739.0,695.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93590.0
6.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.83231449127197,7.42295241355896,11.984697103500366,2.027642250061035,0.21778082847595215,92.7312753200531,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92801.0
6.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.019737958908081055,,0.0010750293731689453,0.22293972969055176,,7.310213565826416,2.6346089839935303,0.13955259323120117,1.29876708984375,0.1386103630065918,11.893271684646606,4206.0,670.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92812.0
6.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.030086994171142578,,0.0010862350463867188,0.2244431972503662,,7.0946879386901855,2.5531225204467773,0.13711047172546387,1.237429141998291,0.13517189025878906,11.537355661392212,4206.0,670.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92812.0
7.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.44150233268738,7.227313756942749,11.666828870773315,1.95003080368042,0.2132425308227539,91.73953485488892,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93666.0
7.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.019321441650390625,,0.0009756088256835938,0.21378755569458008,,7.2864556312561035,2.6373865604400635,0.14064598083496094,1.2919859886169434,0.13864803314208984,11.855675220489502,3917.0,680.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93689.0
7.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.029744625091552734,,0.0010294914245605469,0.20970582962036133,,7.233725547790527,2.6423280239105225,0.14085984230041504,1.2947254180908203,0.1390213966369629,11.81802225112915,3917.0,680.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93689.0
8.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,71.05138921737671,7.386162281036377,11.946854591369629,2.021996021270752,0.2156829833984375,92.86580634117126,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0008329317000164371, -0.0008300853165446716]}",93644.0
