target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,9.945417454851014e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}"
0.0001,0.0001003688365307,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005203466907597925, 0.005206620128152519]}"
0.0001,9.940795778560016e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00020618013270489013, 0.00020887145049310925]}"
0.0001,9.933809523701533e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0015129067903594696, 0.001515448836524627]}"
0.0001,9.900168019536827e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.001182155152938388, 0.0011845827609552454]}"
0.0001,9.919729533140583e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.003211284466012295, 0.0032141472566517833]}"
0.0001,0.0001009825521498,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00684407553898868, 0.006847352158006496]}"
0.0001,0.000100738570634,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0003274879010628296, -0.00032473157103079836]}"
0.0001,0.000100220512966,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0008144780634201654, 0.0008170341450958107]}"
0.0001,9.920804341580352e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012608624202297435, 0.0012632913446351088]}"
0.0001,0.0001008138072248,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0026027210784880196, 0.0026055061933951875]}"
0.0001,0.0001007858622053,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004962671768238588, 0.004965803358750448]}"
0.0001,0.0001007901614391,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0002969808622619008, 0.0002997236460290556]}"
0.0001,9.952188748021544e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00090977014673118, -0.0009069134533557601]}"
0.0001,0.0001009449338544,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0004746898298242844, 0.00047738447127824513]}"
0.0001,0.0001005859478355,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.04866854046122986, 0.06098227556214703], 'uy': [-0.03533924927105664, -0.024720739916375207]}"
0.0001,0.0001008353033936,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.008884021175802718, 0.009299889703557333], 'uy': [0.001173799877671565, 0.0019742953742486226]}"
0.0001,0.0001008643232214,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.002133918903627296, -0.0014353416472080089], 'uy': [0.0075771335257138256, 0.00792106709068996]}"
0.0001,0.0001005257585629,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.011824907074292047, 0.012231274749088972], 'uy': [-0.0014764686683885167, -0.0001548174419648367]}"
0.0001,9.9016727513525e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.006984175432670402, 0.007278734680914117], 'uy': [0.02632181070603009, 0.027115786324340314]}"
0.0001,9.948211956794408e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.004518642365085737, 0.0049142015349831], 'uy': [0.023341164083618218, 0.0237463270027953]}"
0.0001,0.0001007493187184,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.04103763117200421, -0.03528587840184032], 'uy': [-0.04422508945262112, -0.02801977157920773]}"
0.0001,0.0001003785098067,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.010477875429680521, 0.010741702420121648], 'uy': [0.017873993857531124, 0.018605000156664882]}"
0.0001,9.989162158349526e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.01715431443402908, 0.018327752613682427], 'uy': [-0.015324156171925722, -0.01468563867851326]}"
0.0001,9.993676353796548e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.03465609636553437, 0.04472281250539615], 'uy': [-0.03171369821216902, -0.026937406432944514]}"
0.0001,0.0001008084331826,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.046637364827034414, 0.05920882168654555], 'uy': [0.00878599520005362, 0.020671664303665894]}"
0.0001,9.953156075617335e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.02182401330638944, 0.02279178567436718], 'uy': [-0.008155851856454252, -0.006933230537839027]}"
0.0001,9.952726152241428e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.020888912468416156, 0.025117535907202455], 'uy': [-0.05506988777894833, -0.0434646932921279]}"
0.0001,9.984540482058527e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.04279819058701789, 0.06471117180363546], 'uy': [-0.09968100782499777, -0.07156017329688237]}"
0.0001,9.913495644189936e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.005243803830965649, 0.00572271985335154], 'uy': [-0.00541659630771866, -0.0048500694644372415]}"
0.0001,9.99002200510134e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz']","{'ux': [-0.020059538298075004, -0.018670293073972194], 'uy': [-0.11213364056896803, 0.03688029410905856], 'uz': [0.14628624191611744, 0.149966313063638]}"
0.0001,0.0001009567567473,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy', 'uz']","{'ux': [0.03692899201161642, 0.042469983946264035], 'uy': [-0.004080734553338224, -0.002057034027971023], 'uz': [0.08067650540280578, 0.1069276749783145]}"
0.0001,0.0001003430411281,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uy']","{'ux': [0.0034994992185473223, 0.004181956512385218], 'uy': [-0.0016323329687035816, -0.0011698111304221858], 'uz': [0.005216021843463362, 0.13997911297406523]}"
0.0001,9.905649542579638e-05,9000,hydrogen,"('ux', 'uy', 'uz')","['ux', 'uz', 'uy']","{'ux': [-0.018290306331562686, -0.016590778308619936], 'uy': [-0.012871596595089718, -0.005323287857574301], 'uz': [0.19989987376455598, 0.21622301948826206]}"
